MIAMI VAL HOSPITAL ET AL UW SANDERS|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|122659|89933|1394087|0|0|0
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 023 SE TRIANGLE CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2009|||||||
MY SISTER S CLOSET NETWORK NFP|1507 E 53RD STREET CHICAGO IL 60615-4573|Human Service Organizations - Multipurpose Human Services — Multipurpose and Other|True|2016|2016|0||2689|2893|0|0
NATIONAL KIDNEY FOUNDATION INC|215 WEST ILLINOIS CHICAGO IL 60654-7814||True|2016|2016|1929608|1543670|5622980|168418|1110086|584460
MIDWEST WALL AND CEILING CONTRACTORS|500 N MICHIGAN AVE CHICAGO IL 60611-3777||True|2015|2015|96519|80992|468733|797196|0|78694
NATIONAL ALLIED WORKERS UNION INSURANCE TRUST|6970 W DIVERSEY AVENUE CHICAGO IL 60707-1783|Voluntary Employees Beneficiary Associations (Non-Government) Mutual/Membership Benefit Organizations Other|True|2015|2015|19275815|19042726|2048525|308211|0|19275686
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 214 WESTER MASS OF NAON|330 NORTH WABASH AVENUE CHICAGO IL 60611-3586||False|2008|||||||
METROPOLITAN HOUSING DEVELOPMENT CORPORATION FIRST ACTIVE SENIORS CORP III|8 S MICHIGAN AVE STE 3100 CHICAGO IL 60603-3267||True|2016|2015|164570|470826|3084838|5636620|0|162118
NATIONAL PARTNERSHIP FOR NEW AMERICANS|1818 S PAULINA ST CHICAGO IL 60608-2719|Human Service Organizations - Multipurpose Human Services — Multipurpose and Other|True|2015|2015|2269913|1946575|445180|22369|2259913|10000
NANNIE C WALLIS TR UW FBO CHRISTIAN CHURCH 3401088400|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2016|2014|17140|16059|269448|0|0|0
MERCY FOUNDATION INC|2525 S MICHIGAN AVE CHICAGO IL 60616-2315|Fund Raising Organizations That Cross Categories Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2015|1029589|848473|7648201|518555|1110467|0
NBU ATHLETICS FOUNDATION INC|910 W VAN BUREN AVE ROOM 214 CHICAGO IL 60607-3523|Basketball Recreation Sports Leisure Athletics|True|2015|2015|8525|7859|666|0|8525|0
NATIONAL VIETNAM VETERANS ART MUSEUM|4041 N MILWAUKEE AVE 2ND FL CHICAGO IL 60641-1834||True|2015|2015|395066|406352|306692|7773|390266|0
NATIONAL BLACK UNITED FRONT EDUCATION FUND|1809 E 71ST ST CHICAGO IL 60649-2107||True|2015|||||||
MILLER FAMILY FOUNDATION INC|PO BOX 803878 CHICAGO IL 60680-3878|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014|390947|360182|4963583|0|0|0
MOST WORSHIPFUL PRINCE HALL GRAND LODGE OF ILLINOIS BENEVOLENT|809 E 42ND PL CHICAGO IL 60653-2903|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2015|2015|43550|35301|8249|0|43550|0
MORGAN PARK ACADEMY|2153 W 111TH ST CHICAGO IL 60643-3917|Primary Elementary Schools Educational Institutions and Related Activities|True|2015|2015|8124180|8187846|7208701|4547423|583761|7453198
NATIONAL ASSOCIATION OF REALTORS|430 N MICHIGAN AVE CHICAGO IL 60611-4011||True|2015|2015|214144362|181635099|323211041|128404180|0|202213479
MUSIKANTOW FOUNDATION|47 W DIVISION STE 389 CHICAGO IL 60610-2220|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014|23529|29971|140880|0|0|0
MIDTOWN EDUCATIONAL FOUNDATION|718 S LOOMIS ST CHICAGO IL 60607-4010|Educational Services and Schools - Other Educational Institutions and Related Activities|True|2016|2015|3045386|3160914|5481840|446205|2816091|212352
MUTUAL SERVICE FOUNDATION TRUST U A 400584 A|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|10946|16644|322074|0|0|0
NATIONAL STRATEGY FORUM|53 W JACKSON BLVD STE 516 CHICAGO IL 60604|Research Institutes and/or Public Policy Analysis International Foreign Affairs and National Security|False|2014|2013|249577|351504|47996|6878|221215|25826
NATIONAL ASSOCIATION OF BLACK ACCOUNTANTS INC CHICAGO CHAPTER|PO BOX 5395 CHICAGO IL 60680-5395||False|2011|2011|49495|57625|51840|7550|47965|1500
MUSEUMS IN THE PARK INC|1601 N CLARK ST CHICAGO IL 60614-6038||True|2015|2015|308756|305705|448175|360208|145434|163322
MMM EDUCATIONAL SCHOLARSHIP FUND NFP|PO BOX 9286 CHICAGO IL 60609-0286|Community Service Clubs Community Improvement Capacity Building|True|2015|2015|19872|1517|55416|0|44567|0
MOTOROLA LONG-TERM DISABILITY BENEFITS PLAN AND TRUST|PO BOX 804358 CHICAGO IL 60680|Insurance Providers Services Mutual/Membership Benefit Organizations Other|False|2012|2011|2908904|2953125|22346|0|0|2908744
MILLSAPS COLLEGE BHEM AFFILIATED INSTITUTIONS EMPLOYEES MEDICAL|200 S WACKER DR STE 1000 CHICAGO IL 60606-5860||False|2004|||||||
MOTOROLA EMPLOYEE BENEFIT TRUST|PO BOX 804358 CHICAGO IL 60680|Voluntary Employees Beneficiary Associations (Non-Government) Mutual/Membership Benefit Organizations Other|False|2012|2011|52457430|52655973|711803|0|0|52454769
MINDFUL MEDICINE WORLDWIDE NFP|1011 W WELLINGTON AVE CHICAGO IL 60657-7187|International Relief International Foreign Affairs and National Security|True|2015|2015|52879|37092|31632|0|30353|0
MORRISON FAMILY FOUNDATION|191 N WACKER DR STE 3700 CHICAGO IL 60606-1615|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014|2695619|540565|8236385|0|0|0
MUSICAL ARTS INSTITUTE|9244 S LAFAYTTE AVE CHICAGO IL 60620-1406|Music Arts Culture and Humanities|False|2014|2014|111734|111140|27580|19927|32221|76993
MID-AUSTIN STEERING COMMITTEE|816 N LARAMIE AVE CHICAGO IL 60651-2909||True|2016|2016|25875|29998|32096|7848|25275|600
MUSIC OF THE BAROQUE CONCERT SERIES INC|25 E WASHINGTON ST STE 823 CHICAGO IL 60602-1723|Music Arts Culture and Humanities|True|2016|2015|1942498|1799666|1185896|471324|1328422|602203
NANCY A LAUTER AND ALFRED L MCDOUGAL CHARITABLE FUND MCDOUGAL ALFRED L ET AL TTEE|50 S LA SALLE ST CHICAGO IL 60603-1008|Private Independent Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014|284312|374809|5030762|1|0|0
NATIONAL FRAME BUILDING ASSOCIATION INC|8735 W HIGGINS RD STE 300 CHICAGO IL 60631-2738||True|2015|2015|1140374|1031918|888065|735008|286653|836782
METROPOLITAN CHICAGO HEALTHCARE COUNCIL|222 S RIVERSIDE PLAZA 19TH FLOOR CHICAGO IL 60606-5808||True|2015|2014|3174366|2836808|13201304|793521|0|3149236
MINNIE PARKER CHARITABLE TRUST PT 20599 NECT|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2015|2014|340350|119558|3378077|0|0|0
NARODOWE SILY ZBROJNE - NOWE POKOLENIE CHICAGO NFP|6136 W LAWRENCE AVE CHICAGO IL 60630-2940|Science General Science and Technology Research Institutes Services|True|2016|||||||
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 048 NC MEDICAL CENTER CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2007|||||||
NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CHICAGO DAR|559 W DIVERSEY PKWY CHICAGO IL 60614-7640||False|2006|||||||
NATIONAL ASSOCIATION OF ECONOMIC EDUCATORS|601 S MORGAN ST CHICAGO IL 60607-7100||True|2016|2015|28051|26332|34209|0|6078|8295
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 054 NC CENTRAL INDIANA CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2010|||||||
NATIONAL BLACK DATA PROCESSING ASSOCIATES INC CHICAGO CHAPTER|200 S WACKER DRIVE CHICAGO IL 60606-5829||False|2013|2013|75338|103622|87100|0|27678|47657
MOTHER MEERA ASHRAM NFP|PO BOX 802458 CHICAGO IL 60680-2458|Homeless Persons Centers Services Human Services — Multipurpose and Other|False|2013|2013|0|6049|0|0|0|0
MORSE STUDENT LOAN FUND CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2016|2014|78777|49273|777911|0|0|0
MIDWEST COMMUNITY COUNCIL|262 N KEDZIE AVE CHICAGO IL 60612-1869|Alliance/Advocacy Organizations Community Improvement Capacity Building|False|2006|||||||
METHODIST EPISCOPAL CHURCH U/W B MCCABE T-867|10 S DEARBORN ST STE FL 21 CHICAGO IL 60603|Protestant Religion-Related Spiritual Development|False|2012|2012|1131|1050|27130|0|0|0
MIA FOUNDATION INC|1717 SOUTH PRAIRIE CHICAGO IL 60616-5253|Child Abuse Prevention of Crime Legal-Related|False|2010|||||||
MEXICAN FOLKLORIC DANCE COMPANY OF CHICAGO INC|2846 S KEELER AVE CHICAGO IL 60623|Dance Arts Culture and Humanities|False|2014|2013|70550|67264|3286|0|70550|0
MELVIN & EDITH J GOODMAN FOUNDATION|1030 N STATE STREET 52EFG CHICAGO IL 60610-5476||True|2015|2014|26353|28000|90481|1|0|2
NATIONAL EQUITY FUND INC|10 S RIVERSIDE PLZ STE 1700 CHICAGO IL 60606-3801||True|2015|2015|55675713|52709587|84676239|46745832|0|52341811
NATIONAL ORGANIZATION OF MINORITY ENGINEERS|33 WEST MONROE STREET CHICAGO IL 60603-5300|Promotion of Business Community Improvement Capacity Building|True|2015|2015|31226|36604|26974|3877|31226|0
MUNTU DANCE THEATRE|1809 E 71ST ST STE 203 CHICAGO IL 60649-2107|Dance Arts Culture and Humanities|True|2015|2015|301177|282963|86972|22530|169100|118178
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC|330 N WABASH AVE STE 2000 CHICAGO IL 60611-7621||True|2015|2012|2444970|2200353|2764455|448125|542505|1473668
METHESCO BHEM AFFILIATED INSTITUTIONS EMPLOYEES MEDICAL|200 S WACKER DR STE 1000 CHICAGO IL 60606-5860||False|2006|||||||
MINNIE ABEL TR R63800008-PF JPMORGAN CHASE BANK NA|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2016|||||||
MILLENNIUM PARK FOUNDATION|201 E RANDOLPH ST CHICAGO IL 60601-6530|Parks and Playgrounds Recreation Sports Leisure Athletics|True|2015|2015|3199156|1750005|39354470|144346|1786133|7109
MERCY DIAGNOSTIC AND TREATMENT CENTER C-O SISTER SHEILA LYNE RSM|2525 S MICHIGAN AVE CHICAGO IL 60616|Health Treatment Facilities Primarily Outpatient Health — General and Rehabilitative|True|2015|2015|2308316|4934877|709535|1764113|477414|1776137
MOOR FOUNDATION|10 S DEARBORN ST CHICAGO IL 60603-2300||True|2016|2015|23961|37669|538673|0|0|0
NATIONAL COUNCIL OF STRUCTURAL ENGINEERS ASSOCIATIONS INC|645 N MICHIGAN AVE STE 540 CHICAGO IL 60611-2881||True|2015|2015|1132023|1127995|839340|5200|0|896292
MELVA BUCKSBAUM FAMILY FOUNDATION|1 N FRANKLIN ST STE 625 CHICAGO IL 60606-3532||True|2015|2014|90501|132750|220190|1|90000|17
N THE SPIRIT INC|7225 S YALE AVE CHICAGO IL 60621-3540|Housing Development Construction Management Housing Shelter|True|2015|2015|106517|101143|2134|1151|106517|0
MENTAL HEALTH ASSOCIATION IN VANDERBURG COUNTY VANDERBURG COUNTY|55 E JACKSON BLVD STE 490 CHICAGO IL 60604-4396||True|2015|2015|54886|54303|28009|707|39312|0
MONTFORD POINT MARINE ASSOCIATION|7011 S VINCENNES AVE CHICAGO IL 60621-3611|Military Veterans' Organizations Public Society Benefit — Multipurpose and Other|True|2016|2015|83508|102852|52266|6871|4346|0
NATIONAL PAPER TRADE ASSOCIATION|330 N WABASH AVE STE 2000 CHICAGO IL 60611-7621||True|2015|2015|962889|917548|1199014|809151|443476|492763
NAOMI B CHAMBERS CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Public Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014|678479|439959|11119277|0|0|0
PARKER FAMILY FOUNDATION PARKER GERHARD TTEE|PO BOX 803878 CHICAGO IL 60680-3878|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014|263416|105359|1932900|0|0|0
NORTHWEST HOME FOR THE AGED|6840 N SACRAMENTO AVE CHICAGO IL 60645-2740|Senior Continuing Care Communities Human Services — Multipurpose and Other|True|2015|2014|9065735|6513436|53122329|21621513|134845|7905781
ONE VILLAGE NFP ONE VILLAGE|7944 S OGLESBY AVE CHICAGO IL 60617-1131|Humanities Organizations Arts Culture and Humanities|True|2015|2013|1||1|0|0|0
PANGBURN FOUNDATION|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2015|273413|414449|6511340|0|0|0
NEW THING MINISTRIES|2240 S MICHIGAN AVENUE CHICAGO IL 60616-4907|Christian Religion-Related Spiritual Development|False|2009|||||||
NORTHWESTERN MEMORIAL HEALTHCARE KISHWAUKEE PHYSICIAN GROUP INC|541 N FAIRBANKS CT RM 1639 CHICAGO IL 60611-3319|Hospital General Health — General and Rehabilitative|True|2015|2015|267424|277095|146947|39335|159362|97591
NEWBY MEMORIAL STUDENTSLOAN FUND|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|82267|95902|1503535|0|0|0
NEW YORK EQUITY FUND INC|10 S RIVERSIDE PLAZA SUITE STE 170 CHICAGO IL 60606-3728||True|2015|2015|1000479|845255|6912026|154213|0|999995
NORTHEAST LEVY AUXILIARY|2019 W LAWRENCE AVE CHICAGO IL 60625-1418|Senior Centers Services Human Services — Multipurpose and Other|False|2002|||||||
PARENTS AIMING FOR SUCCESS INC P A F S|10913 S PARNELL AVE CHICAGO IL 60628-3231|Youth Development Programs Other Youth Development|True|2015|2015|1650|1594|1650|1594|1650|0
ORGANIC THEATER COMPANY INC|PO BOX 578189 CHICAGO IL 60657-7303|Theater Arts Culture and Humanities|False|2010|||||||
NORTH DEARBORN ASSOCIATION|PO BOX 10521 CHICAGO IL 60610-0521||True|2016|2015|34375|21555|54792|0|18889|0
NEIGHBORHOOD PLAYHOUSE TRUST T-15246|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|62349|88285|917518|0|0|0
NEW LEASH ON LIFE CHICAGO|PO BOX 2790 CHICAGO IL 60690-2790|Animal-Related N.E.C.|True|2015|2015|101027|111600|11520|0|101027|0
ORANGE CRUSH|7925 S CHRISTIANA AVE CHICAGO IL 60652-1515|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2015|2014|33181|38413|22367|0|16421|0
NICUM CHURCH INSURANCE ASSOCIATION|77 W WASHINGTON ST STE 1820 CHICAGO IL 60602-3181|Protestant Religion-Related Spiritual Development|False|2012|2012|1938990|2126150|411485|175129|0|1937445
ONE HOPE UNITED-FLORIDA REGION INC|333 S WABASH AVE STE 2750 CHICAGO IL 60604-4264|Family Services Human Services — Multipurpose and Other|True|2015|2015|9418445|9784097|1580569|1944062|9261364|146500
NONPROFITS MATTER INC|4120 W 5TH AVE CHICAGO IL 60624-3509|Youth Development - Business Youth Development|False|2007|||||||
NORTH PARK UNIVERSITY|3225 W FOSTER AVE CHICAGO IL 60625-4823|University or Technological Institute Educational Institutions and Related Activities|True|2016|2015|89765087|84165393|296723514|101693516|16627029|69005839
OAKLAND 14TH OFFICE INC|222 SOUTH RIVERSIDE PLAZA 26TH FLR CHICAGO IL 60606-5808|Real Estate Organizations Community Improvement Capacity Building|True|2015|2015|4428303|2960899|55167004|1380034|0|4428303
ONE HOPE UNITED-NORTHERN REGION 9750|333 S WABASH AVE STE 2750 CHICAGO IL 60604-4264|Family Services Human Services — Multipurpose and Other|True|2015|2015|33420618|33748251|27067993|3951918|27290839|5723287
ORDER OF THE EASTERN STAR OF ILLINOIS EUREKA GRAND CHAPTER OES PHA|809 E 42ND PL CHICAGO IL 60653-2903||True|2015|2015|89273|104960|57548|0|89195|0
PARAGON ART COLLECTION INC NFP|701 W BUCKINGHAM PL APT 207 CHICAGO IL 60657-6538|Arts Cultural Organizations - Multipurpose Arts Culture and Humanities|False|2010|||||||
NORTH CENTRAL COLLEGE EMPLOYEES MEDICAL PLAN & TRUST|200 S WACKER DR STE 1000 CHICAGO IL 60606-5860||False|2006|||||||
ONE NATION UNDER GOD FOUNDATION|414 N ORLEANS PLAZA CHICAGO IL 60654-4421|Voter Education Registration Civil Rights Social Action Advocacy|True|2015|2015|208475|161499|49667|0|208475|0
NORTH SUBURBAN HEALTHCARE FOUNDATION|191 N WACKER DRIVE SUITE 2250 CHICAGO IL 60606-1615||True|2015|2015|1955|1922795|244197|0|0|0
NEW LIFE FAMILY SERVICES|1665 N MOZART ST CHICAGO IL 60647-5107|Animal Protection and Welfare Animal-Related|False|2005|||||||
NEXT STEPS NFP|2442 N KILBOURN AVE CHICAGO IL 60639-1943|Management & Technical Assistance Human Services — Multipurpose and Other|False|2010|2010|80120|80120|22581|9603|78592|1480
OLIVIA C EATON CHARITABLE TRUST|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||False|2011|2011|257|1337|4252|1|0|1
NY TIMES TR UW 100 CASES FUND F51165000|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2016|2014|19534|21889|440963|0|0|0
NORTHWESTERN MEMORIAL HEALTHCARE DEKALB COUNTY HOSPICE|541 N FAIRBANKS CT RM 1639 CHICAGO IL 60611-3319|Hospital General Health — General and Rehabilitative|True|2015|2015|1458547|1351135|1048030|292543|388928|1067850
NORTHWESTERN MEMORIAL EMPLOYEE 401K PRE TAX SAVINGS PLAN 003 NORTHWESTERN MEMORIAL HOSPITAL|541 N FAIRBANKS CT RM 1639 CHICAGO IL 60611-3319|Hospital General Health — General and Rehabilitative|True|2015|||||||
NORWEGIAN AMERICAN HOSPITAL FOUNDATION|1044 N FRANCISCO AVE CHICAGO IL 60622-2743||True|2015|2015|628346|849294|1852268|85422|588085|0
PARTNERS IN EVANGELISM INTERNATIONAL|5518 W DIVERSEY AVE CHICAGO IL 60639-1302|Protestant Religion-Related Spiritual Development|True|2015|2015|1401906|1357125|629871|157634|1401540|0
OFALLON PRESERVATION NFP|325 N WELLS 8TH FLOOR CHICAGO IL 60654-7023|Senior Citizens' Housing/Retirement Communities Housing Shelter|True|2015|2015|1005056|1135569|5322226|5717515|62372|938171
PATRIOT COAL SALARIED RETIREE VEBA TRUST|55 W MONROE ST STE 1200 CHICAGO IL 60603-5127|Insurance Providers Services Mutual/Membership Benefit Organizations Other|True|2015|2015|4067853|1146563|6544229|21922|0|4065402
ONE HOPE UNITED TITLE HOLDING CORPORATION|333 S WABASH AVE STE 2750 CHICAGO IL 60604-4264|Real Estate Organizations Community Improvement Capacity Building|True|2015|2015|100620|543247|10964481|10237303|0|0
PARTNERSHIP TO EDUCATE AND ADVANCE KIDS|1658 N MILWAUKEE AVE 301 CHICAGO IL 60647-6905|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2015|2015|338812|375090|249513|100187|321231|0
NEALE FAMILY FOUNDATION|PO BOX 803878 CHICAGO IL 60680-3878|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014|587529|131052|2651338|3000|400000|0
PARTNERS IN COMMUNITY BUILDING INC|4622 S KING DR CHICAGO IL 60653-4108|Housing Development Construction Management Housing Shelter|True|2016|2015|935284|941638|331816|70109|935284|0
NORTHWESTERN MEMORIAL HEALTHCARE KISHHEALTH SYSTEM|541 N FAIRBANKS CT RM 1639 CHICAGO IL 60611-3319|Hospital General Health — General and Rehabilitative|True|2015|2015|21268372|16520494|61241872|28775112|6041659|14292433
PACIFIC COAST SURGICAL ASSOCIATION|633 N SAINT CLAIR ST FL 24 CHICAGO IL 60611-6554||True|2015|2015|348963|313546|687913|6664|12000|333057
OPPORTUNITY TRANSFORMATION INVESTMENTS INC|550 W VAN BUREN ST STE 200 CHICAGO IL 60607-3827|Urban Community Economic Development Community Improvement Capacity Building|True|2015|2015|11973809|5351735|128469573|27180279|11154709|642840
NORTH PALOS FPD RETIREMENT HEALTHCARE FUNDING PLAN|3963 W BELMONT AVE STE 6 CHICAGO IL 60618-5129||False|2010|||||||
OREGON CORPORATION FOR AFFORDABLE HOUSING|10 S RIVERSIDE PLAZA SUITE STE 170 CHICAGO IL 60606-3728|Housing Development Construction Management Housing Shelter|True|2015|2015|1181349|831519|1995110|1354226|0|1177348
NORTHWEST SIDE HOUSING CENTER|5233 W DIVERSEY AVE CHICAGO IL 60639-1501|Financial Counseling Money Management Human Services — Multipurpose and Other|True|2015|2015|1280930|1291691|1231698|578105|1183354|53223
OLIVIA A HERBERT TRUST FBO GERTRUDE HERBERT 122737|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014|30891|56942|588273|0|0|0
PARENTS AGAINST DRUGS|4300 W WILCOX ST CHICAGO IL 60624|Alcohol Drug and Substance Abuse Dependency Prevention and Treatment Mental Health Crisis Intervention|False|2013|2013|93380|102898|15432|0|93380|0
NORTH SIDE MOSQUE CHICAGO|PO BOX 597395 CHICAGO IL 60659-7395||True|2015|2015|496090|345215|4668744|19261|470140|25950
