name|address|desc|active|latest|info_year|revenue|expense|assets|liabilites|cont_rev|other_rev|coordinates
MIDTOWN EDUCATIONAL FOUNDATION|718 S LOOMIS ST CHICAGO IL 60607-4010|Educational Services and Schools - Other Educational Institutions and Related Activities|True|2016|2015.0|3045386.0|3160914.0|5481840.0|446205.0|2816091.0|212352.0|[41.87270005, -87.6620504337045]
MUTUAL SERVICE FOUNDATION TRUST U A 400584 A|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014.0|10946.0|16644.0|322074.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NATIONAL STRATEGY FORUM|53 W JACKSON BLVD STE 516 CHICAGO IL 60604|Research Institutes and/or Public Policy Analysis International Foreign Affairs and National Security|False|2014|2013.0|249577.0|351504.0|47996.0|6878.0|221215.0|25826.0|[37.8687886, -122.2592009]
NATIONAL ASSOCIATION OF BLACK ACCOUNTANTS INC CHICAGO CHAPTER|PO BOX 5395 CHICAGO IL 60680-5395||False|2011|2011.0|49495.0|57625.0|51840.0|7550.0|47965.0|1500.0|[37.8687886, -122.2592009]
MUSEUMS IN THE PARK INC|1601 N CLARK ST CHICAGO IL 60614-6038||True|2015|2015.0|308756.0|305705.0|448175.0|360208.0|145434.0|163322.0|[41.9119872, -87.6314864700646]
MMM EDUCATIONAL SCHOLARSHIP FUND NFP|PO BOX 9286 CHICAGO IL 60609-0286|Community Service Clubs Community Improvement Capacity Building|True|2015|2015.0|19872.0|1517.0|55416.0|0.0|44567.0|0.0|[41.8249226, -87.6381346]
MOTOROLA LONG-TERM DISABILITY BENEFITS PLAN AND TRUST|PO BOX 804358 CHICAGO IL 60680|Insurance Providers Services Mutual/Membership Benefit Organizations Other|False|2012|2011.0|2908904.0|2953125.0|22346.0|0.0|0.0|2908744.0|[37.8687886, -122.2592009]
MILLSAPS COLLEGE BHEM AFFILIATED INSTITUTIONS EMPLOYEES MEDICAL|200 S WACKER DR STE 1000 CHICAGO IL 60606-5860||False|2004||||||||[37.8687886, -122.2592009]
MOTOROLA EMPLOYEE BENEFIT TRUST|PO BOX 804358 CHICAGO IL 60680|Voluntary Employees Beneficiary Associations (Non-Government) Mutual/Membership Benefit Organizations Other|False|2012|2011.0|52457430.0|52655973.0|711803.0|0.0|0.0|52454769.0|[37.8687886, -122.2592009]
MINDFUL MEDICINE WORLDWIDE NFP|1011 W WELLINGTON AVE CHICAGO IL 60657-7187|International Relief International Foreign Affairs and National Security|True|2015|2015.0|52879.0|37092.0|31632.0|0.0|30353.0|0.0|[41.9361819240631, -87.6543793348132]
MORRISON FAMILY FOUNDATION|191 N WACKER DR STE 3700 CHICAGO IL 60606-1615|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014.0|2695619.0|540565.0|8236385.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MUSICAL ARTS INSTITUTE|9244 S LAFAYTTE AVE CHICAGO IL 60620-1406|Music Arts Culture and Humanities|False|2014|2014.0|111734.0|111140.0|27580.0|19927.0|32221.0|76993.0|[37.8687886, -122.2592009]
MID-AUSTIN STEERING COMMITTEE|816 N LARAMIE AVE CHICAGO IL 60651-2909||True|2016|2016.0|25875.0|29998.0|32096.0|7848.0|25275.0|600.0|[41.89547945, -87.7559701183856]
MUSIC OF THE BAROQUE CONCERT SERIES INC|25 E WASHINGTON ST STE 823 CHICAGO IL 60602-1723|Music Arts Culture and Humanities|True|2016|2015.0|1942498.0|1799666.0|1185896.0|471324.0|1328422.0|602203.0|[41.88284165, -87.6266671655424]
NANCY A LAUTER AND ALFRED L MCDOUGAL CHARITABLE FUND MCDOUGAL ALFRED L ET AL TTEE|50 S LA SALLE ST CHICAGO IL 60603-1008|Private Independent Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014.0|284312.0|374809.0|5030762.0|1.0|0.0|0.0|[37.8687886, -122.2592009]
NATIONAL FRAME BUILDING ASSOCIATION INC|8735 W HIGGINS RD STE 300 CHICAGO IL 60631-2738||True|2015|2015.0|1140374.0|1031918.0|888065.0|735008.0|286653.0|836782.0|[41.9843704, -87.8225483]
METROPOLITAN CHICAGO HEALTHCARE COUNCIL|222 S RIVERSIDE PLAZA 19TH FLOOR CHICAGO IL 60606-5808||True|2015|2014.0|3174366.0|2836808.0|13201304.0|793521.0|0.0|3149236.0|[41.87870145, -87.6389370491127]
MINNIE PARKER CHARITABLE TRUST PT 20599 NECT|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2015|2014.0|340350.0|119558.0|3378077.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NARODOWE SILY ZBROJNE - NOWE POKOLENIE CHICAGO NFP|6136 W LAWRENCE AVE CHICAGO IL 60630-2940|Science General Science and Technology Research Institutes Services|True|2016||||||||[41.9677959, -87.7811862039359]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 048 NC MEDICAL CENTER CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2007||||||||[37.8687886, -122.2592009]
NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION CHICAGO DAR|559 W DIVERSEY PKWY CHICAGO IL 60614-7640||False|2006||||||||[37.8687886, -122.2592009]
NATIONAL ASSOCIATION OF ECONOMIC EDUCATORS|601 S MORGAN ST CHICAGO IL 60607-7100||True|2016|2015.0|28051.0|26332.0|34209.0|0.0|6078.0|8295.0|[41.873686, -87.6509923669298]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC 054 NC CENTRAL INDIANA CHAPTER|330 WABASH AVENUE CHICAGO IL 60611-3586||False|2010||||||||[37.8687886, -122.2592009]
NATIONAL BLACK DATA PROCESSING ASSOCIATES INC CHICAGO CHAPTER|200 S WACKER DRIVE CHICAGO IL 60606-5829||False|2013|2013.0|75338.0|103622.0|87100.0|0.0|27678.0|47657.0|[37.8687886, -122.2592009]
MOTHER MEERA ASHRAM NFP|PO BOX 802458 CHICAGO IL 60680-2458|Homeless Persons Centers Services Human Services — Multipurpose and Other|False|2013|2013.0|0.0|6049.0|0.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MORSE STUDENT LOAN FUND CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2016|2014.0|78777.0|49273.0|777911.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MIDWEST COMMUNITY COUNCIL|262 N KEDZIE AVE CHICAGO IL 60612-1869|Alliance/Advocacy Organizations Community Improvement Capacity Building|False|2006||||||||[37.8687886, -122.2592009]
METHODIST EPISCOPAL CHURCH U/W B MCCABE T-867|10 S DEARBORN ST STE FL 21 CHICAGO IL 60603|Protestant Religion-Related Spiritual Development|False|2012|2012.0|1131.0|1050.0|27130.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
MIA FOUNDATION INC|1717 SOUTH PRAIRIE CHICAGO IL 60616-5253|Child Abuse Prevention of Crime Legal-Related|False|2010||||||||[37.8687886, -122.2592009]
MEXICAN FOLKLORIC DANCE COMPANY OF CHICAGO INC|2846 S KEELER AVE CHICAGO IL 60623|Dance Arts Culture and Humanities|False|2014|2013.0|70550.0|67264.0|3286.0|0.0|70550.0|0.0|[37.8687886, -122.2592009]
MELVIN & EDITH J GOODMAN FOUNDATION|1030 N STATE STREET 52EFG CHICAGO IL 60610-5476||True|2015|2014.0|26353.0|28000.0|90481.0|1.0|0.0|2.0|[41.90155435, -87.6288955905471]
NATIONAL EQUITY FUND INC|10 S RIVERSIDE PLZ STE 1700 CHICAGO IL 60606-3801||True|2015|2015.0|55675713.0|52709587.0|84676239.0|46745832.0|0.0|52341811.0|[41.8812218, -87.63916285]
NATIONAL ORGANIZATION OF MINORITY ENGINEERS|33 WEST MONROE STREET CHICAGO IL 60603-5300|Promotion of Business Community Improvement Capacity Building|True|2015|2015.0|31226.0|36604.0|26974.0|3877.0|31226.0|0.0|[41.88036815, -87.6287922749056]
MUNTU DANCE THEATRE|1809 E 71ST ST STE 203 CHICAGO IL 60649-2107|Dance Arts Culture and Humanities|True|2015|2015.0|301177.0|282963.0|86972.0|22530.0|169100.0|118178.0|[41.7659683469388, -87.5783793877551]
NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC|330 N WABASH AVE STE 2000 CHICAGO IL 60611-7621||True|2015|2012.0|2444970.0|2200353.0|2764455.0|448125.0|542505.0|1473668.0|[41.8886492, -87.6275875603297]
METHESCO BHEM AFFILIATED INSTITUTIONS EMPLOYEES MEDICAL|200 S WACKER DR STE 1000 CHICAGO IL 60606-5860||False|2006||||||||[37.8687886, -122.2592009]
MINNIE ABEL TR R63800008-PF JPMORGAN CHASE BANK NA|10 S DEARBORN IL1-0117 CHICAGO IL 60603-2300||True|2016||||||||[37.8687886, -122.2592009]
MILLENNIUM PARK FOUNDATION|201 E RANDOLPH ST CHICAGO IL 60601-6530|Parks and Playgrounds Recreation Sports Leisure Athletics|True|2015|2015.0|3199156.0|1750005.0|39354470.0|144346.0|1786133.0|7109.0|[41.88411205, -87.6213928422388]
MERCY DIAGNOSTIC AND TREATMENT CENTER C-O SISTER SHEILA LYNE RSM|2525 S MICHIGAN AVE CHICAGO IL 60616|Health Treatment Facilities Primarily Outpatient Health — General and Rehabilitative|True|2015|2015.0|2308316.0|4934877.0|709535.0|1764113.0|477414.0|1776137.0|[41.84665325, -87.6219706414015]
MOOR FOUNDATION|10 S DEARBORN ST CHICAGO IL 60603-2300||True|2016|2015.0|23961.0|37669.0|538673.0|0.0|0.0|0.0|[41.8816079, -87.6301218]
NATIONAL COUNCIL OF STRUCTURAL ENGINEERS ASSOCIATIONS INC|645 N MICHIGAN AVE STE 540 CHICAGO IL 60611-2881||True|2015|2015.0|1132023.0|1127995.0|839340.0|5200.0|0.0|896292.0|[41.8939323, -87.6238332]
MELVA BUCKSBAUM FAMILY FOUNDATION|1 N FRANKLIN ST STE 625 CHICAGO IL 60606-3532||True|2015|2014.0|90501.0|132750.0|220190.0|1.0|90000.0|17.0|[41.8822924, -87.6349775]
N THE SPIRIT INC|7225 S YALE AVE CHICAGO IL 60621-3540|Housing Development Construction Management Housing Shelter|True|2015|2015.0|106517.0|101143.0|2134.0|1151.0|106517.0|0.0|[41.76277115, -87.6306695312483]
MENTAL HEALTH ASSOCIATION IN VANDERBURG COUNTY VANDERBURG COUNTY|55 E JACKSON BLVD STE 490 CHICAGO IL 60604-4396||True|2015|2015.0|54886.0|54303.0|28009.0|707.0|39312.0|0.0|[41.87799725, -87.6255633148766]
MONTFORD POINT MARINE ASSOCIATION|7011 S VINCENNES AVE CHICAGO IL 60621-3611|Military Veterans' Organizations Public Society Benefit — Multipurpose and Other|True|2016|2015.0|83508.0|102852.0|52266.0|6871.0|4346.0|0.0|[41.7668505, -87.6268960262402]
NATIONAL PAPER TRADE ASSOCIATION|330 N WABASH AVE STE 2000 CHICAGO IL 60611-7621||True|2015|2015.0|962889.0|917548.0|1199014.0|809151.0|443476.0|492763.0|[41.8886492, -87.6275875603297]
NAOMI B CHAMBERS CHARITABLE TR|10 S DEARBORN CHICAGO IL 60603-2300|Public Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2015|2014.0|678479.0|439959.0|11119277.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
PARKER FAMILY FOUNDATION PARKER GERHARD TTEE|PO BOX 803878 CHICAGO IL 60680-3878|Private Grantmaking Foundations Philanthropy Voluntarism and Grantmaking Foundations|True|2016|2014.0|263416.0|105359.0|1932900.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NORTHWEST HOME FOR THE AGED|6840 N SACRAMENTO AVE CHICAGO IL 60645-2740|Senior Continuing Care Communities Human Services — Multipurpose and Other|True|2015|2014.0|9065735.0|6513436.0|53122329.0|21621513.0|134845.0|7905781.0|[42.00591485, -87.7056600895839]
ONE VILLAGE NFP ONE VILLAGE|7944 S OGLESBY AVE CHICAGO IL 60617-1131|Humanities Organizations Arts Culture and Humanities|True|2015|2013.0|1.0||1.0|0.0|0.0|0.0|[41.7503965, -87.5676982545669]
PANGBURN FOUNDATION|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2015.0|273413.0|414449.0|6511340.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NEW THING MINISTRIES|2240 S MICHIGAN AVENUE CHICAGO IL 60616-4907|Christian Religion-Related Spiritual Development|False|2009||||||||[37.8687886, -122.2592009]
NORTHWESTERN MEMORIAL HEALTHCARE KISHWAUKEE PHYSICIAN GROUP INC|541 N FAIRBANKS CT RM 1639 CHICAGO IL 60611-3319|Hospital General Health — General and Rehabilitative|True|2015|2015.0|267424.0|277095.0|146947.0|39335.0|159362.0|97591.0|[41.89221155, -87.6196987038769]
NEWBY MEMORIAL STUDENTSLOAN FUND|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014.0|82267.0|95902.0|1503535.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NEW YORK EQUITY FUND INC|10 S RIVERSIDE PLAZA SUITE STE 170 CHICAGO IL 60606-3728||True|2015|2015.0|1000479.0|845255.0|6912026.0|154213.0|0.0|999995.0|[41.8812218, -87.63916285]
NORTHEAST LEVY AUXILIARY|2019 W LAWRENCE AVE CHICAGO IL 60625-1418|Senior Centers Services Human Services — Multipurpose and Other|False|2002||||||||[37.8687886, -122.2592009]
PARENTS AIMING FOR SUCCESS INC P A F S|10913 S PARNELL AVE CHICAGO IL 60628-3231|Youth Development Programs Other Youth Development|True|2015|2015.0|1650.0|1594.0|1650.0|1594.0|1650.0|0.0|[41.69560355, -87.63614695]
ORGANIC THEATER COMPANY INC|PO BOX 578189 CHICAGO IL 60657-7303|Theater Arts Culture and Humanities|False|2010||||||||[37.8687886, -122.2592009]
NORTH DEARBORN ASSOCIATION|PO BOX 10521 CHICAGO IL 60610-0521||True|2016|2015.0|34375.0|21555.0|54792.0|0.0|18889.0|0.0|[37.8687886, -122.2592009]
NEIGHBORHOOD PLAYHOUSE TRUST T-15246|10 S DEARBORN CHICAGO IL 60603-2300||True|2016|2014.0|62349.0|88285.0|917518.0|0.0|0.0|0.0|[37.8687886, -122.2592009]
NEW LEASH ON LIFE CHICAGO|PO BOX 2790 CHICAGO IL 60690-2790|Animal-Related N.E.C.|True|2015|2015.0|101027.0|111600.0|11520.0|0.0|101027.0|0.0|[37.8687886, -122.2592009]
ORANGE CRUSH|7925 S CHRISTIANA AVE CHICAGO IL 60652-1515|Scholarships Student Financial Aid Services Awards Educational Institutions and Related Activities|True|2015|2014.0|33181.0|38413.0|22367.0|0.0|16421.0|0.0|[41.7489371, -87.70573185]
