21,Northlight Theatre,Mike Nussbaum Frank Galati and Greg Kandel founded Northlight Theatre in 1974. Northlight moved to Evanston's Coronet Theatre in 1990 and from 1994-1997 Northlight produced theater in various spaces in Chicago and on the North Shore. During this time the organization absorbed the National Jewish Theatre which was valued by the community but no longer independently viable and Northlight's search for a permanent home intensified. Northlight Theatre's nomadic existence ended when it became the resident theater company at North Shore Center for the Performing Arts in Skokie in 1997. A permanent home permitted Northlight to enter a new era of growth - in size and quality - which was galvanized by a new Artistic Director B.J. Jones.In its 37 year history Northlight Theatre has mounted more than 180 productions including  40 world premieres. It has grown into one of the leading mid-size theatres in the Chicago area with 6000 subscribers serving audiences totaling nearly 60000. Northlight is an award-winning theatre 
22,Institute of Women Today,
23,National Guild for Community Arts Education,
24,The President and Fellows of Harvard College,
25,"The Regents of the University of California, Irvine",
26,Heartland Human Care Services,
27,Center for Neighborhood Technology,
28,Henry Booth House,"Henry Booth House affectionately known as HBH, is a 501c3, Greater Chicago nonprofit community based social services agency.  Founded in 1898 by the Chicago Ethical Humanist Society, HBH primarily focused on the development of ethical principles, education and quality of life.  It is named after Judge Henry Booth , the organization's first President.In its earliest years, the agency provided services to economically challenged Irish and German immigrants who required such services as citizenship training, English as a second language, literacy training, employment preparation, parenting and family planning.Through the years, the agency has broadened its reach and today provides a culturally diverse population with services which include health care, social services, nutrition counseling, child care and Head Start early childhood learning.  At HBH, we engage in advocacy and facilitate opportunities for personal growth and development, strong family relations and the improvement of the overall quality of life f"
29,Chinese Fine Arts Society,
30,Latino Alzheimer’s and Memory Disorders Alliance,"In 2006 Latinos accounted for 20% of the regions population (1,722,843), making them the largest ethnic group in Metropolitan Chicago. Among Latinos, Mexican is the largest national origin population group accounting for nearly 79% of all Latinos in the region. They are followed by Puerto Ricans at nearly 9% and Guatemalans at nearly 2%."
31,Bickerdike Redevelopment Corporation,Bickerdike was established in 1967 by a group of individuals and representatives of local community organizations on Chicago?s near northwest side who joined forces to fight housing neglect abandonment and arson.  As factories closed and manufacturing jobs left the area unemployment soared and the median income drastically decreased. Some residents fled to the suburbs and the neighborhood quickly eroded falling prey to gangs and widespread crime and arson and demolition dominated as the most prevalent real estate activity. Once formed Bickerdike was charged with the mission of redeveloping the West Town Humboldt Park Logan Square Hermosa and Avondale communities for the benefit of and control by lower and moderate-income residents of these areas.While Bickerdike initially focused on homeownership to counter neighborhood decline our work has expanded over the years evolving into a multifaceted community development approach. Bickerdike?s affordable housing development initiatives include homeownership rental a
32,Northeastern Illinois University,
33,Links Hall Incorporated,
34,"The Technical Assistance Collaborative, Inc.","Founded in 1992 through a grant from the Robert Wood Johnson Foundation, over the past 20 years TAC has provided affordable housing and/or health and human services consultation to 45 states and more than 200 local jurisdictions."
35,"Vivian G. Harsh Society, Inc.","The society was formed in 1994 to raise funds to promote the Harsh Research Collection and make it more accessible to scholars, researchers, students and the general public. The Harsh Collection is the largest Collection of its kind in the Midwest. It holds books, periodicals, microfilm, original manuscripts by such writers as Richard Wright, and includes historic papers from Timuel D. Black and the Sengstacke family. It is a 501(c)(3), not-for-profit corporation dedicated to the preservation of rare materials and resources. "
36,"United States Curling Association, Inc.","The United States Curling Association was founded in 1958. It was first known as the U.S. Menâs Curling Association, but later dropped this specification as the organizationâs reach grew to encompass curling for all people in the nation. The USCA is a member of the World Curling Federation and the U.S. Olympic Committee (USOC). The USCA was recognized by the USOC as the National Governing Body (NGB) for the sport of curling in 1994, and also became the NGB for U.S. Paralympic (wheelchair) curling in 2001."
37,The Chicago Philharmonic Society,"Founded in 1988 by principals from the Lyric Opera of Chicago Orchestra, the Chicago Philharmonic Society now includes the collaboration of over 200 of the highest-level classical music performers working in the metropolitan Chicago area, including Lyric Opera Orchestra members and top area freelancers, most of whom are national touring soloists or extra players for the Lyric Opera and Chicago Symphony Orchestra. This cadre of seasoned professionals has performed over many years, developing into an ensemble of virtuosity and flexibility."
38,Bella Cuisine Kids Cooking Club,
39,African American Christian Foundation,AACF has operated WIA Title I Adult Dislocated and Youth programs since 1995 with tremendous success through the Cook County Workforce Partnership (CCWP) and has offered advanced paid training to youth and adults through Individual Training Accounts (ITA) through the Workforce Investment Act (WIA) programs. We became a vocational school in 2004 and we are certified through the Illinois Board of Higher Learning (IBHE) to teach Computer Office Skills Certified Nursing Assistance and Manufacturing courses. Over the years we have been able to also offer in house basic free computer training through the Eliminate the Digital Divide program and also offer summer youth and adult employment programs through the Department of Commerce and Economic Opportunity (DCEO) and (CCWP).  Our agency has provided WIA services to over 700 adults and youth combined; clients were provided with job readiness workshops case management services; training services and job placement. Through the Eliminate the Digital Divide program we h
40,Chicago Rehabilitation Network,CRN  as a coalition of non profits community development corporations and advocates provides a unique point-of-view impacting people communities and systems which lead to stronger neighborhoods. We provide strong policy analysis technical assistance and training from which troubleshooting and best practices often emanate delivering intentional communications to well-defined target audiences. We believe our body of work illustrates our unique approach combining: intentional relationships with ground-level practitioners; understanding of community needs and markets; strong targeted communication to different decision-making audiences; policy work that connects to practice and accountability and commitment to understand various stakeholder interests to move towards constructive solutions.New programs are being developed new resources are available and new people are working to make a difference in our communities. It is the role of the Chicago Rehab Network to assure that the proper capacity exists to most fully
41,Actors Gymnasium,
42,The Regents of the University of California  University of California Santa Barbara,
43,Striding Lion InterArts Workshop,"2010-2011, Striding Lion (SL) celebrates and builds on 10 years of innovation and excellence on the stage, in the studio, and in the classroom. Through the collision of live performance and new media, a stalwart commitment to original music, and the inventive use of both traditional and non-traditional performance spaces, their premiere-filled Striding Lion Performance Series challenges audiences to move beyond the limitations of a passive viewing experience and engage more immediately and kinesthetically with the content and material presented. Through the development of full length multi-disciplinary performance works under the Artistic Direction of Annie Beserra and the cultivation and curation of new workshops and performance shorts by their company members and community of artistic cohorts in their regularly produced Salon Series and Night Roars Performance Cabarets, Striding Lion continues its commitment to facilitating collaborative community at large and to making the process of performance developmen"
44,Street-Level Youth Media,
45,Latinos Progresando,"Latinos Progresando (LP) opened in 1998, led by founder and current Executive Director Luis Gutierrez who was, at the time, just 24 years old and working as a volunteer. The son of Mexican immigrants, raised in Chicagoâs Little Village neighborhood, Luis began with just $200 in the bank and the goal to give families access to the resources they needed to thrive. Today LP is a community leader reaching thousands of families every year with a broad spectrum of services.  "
46,The Good Food Project,
47,Chicago History Museum,"In recent years CHM has largely reinvented its relationship to the community and made a commitment to build diversity in its staff its board its audience and ? most importantly ? in its programming. With the CHM?s recent renovation and name change in 2006 more than 90% of the Museum?s gallery space has been remodeled and the institution has re-focused its mission to tell the stories of all Chicagoans. Recent exhibitions and public programs clearly demonstrate this new commitment to be inclusive: MY CHINATOWN SOUTH CHICAGO BENITO JUAREZ AND THE MAKING OF MODERN MEXICO and OUT IN CHICAGO. In 2011 CHM secured a collaboration grant from CCT so that MY CHINATOWN could be de-installed at CHM and reinstalled as a permanent exhibition at the Chinese American Museum of Chicago.CHM?s 2008 Vision Statement states ""We will claim Chicago and shape our future."" By ""claiming Chicago"" we mean telling the story of all Chicagoans not just the pioneers statesmen and industrialists who built so much of our city?s foundation.CHM "
48,Chicago Shakespeare Theater,Founded in 1986 the Theater was established to serve the community with bold and accessible productions by William Shakespeare breathing new life into timeless works that speak directly to modern audiences. CSTâs work has expanded over time to include family productions musicals new work and visiting international productions that sit alongside plays from the canon to engage our audiences in a more complete theatrical offering. Our 2011/12 season marks CSTâs 25th Anniversary celebrating a quarter-century of world-class performance and broad-based educational and family programming. The Theaterâs year-round producing season features as many as 15 plays and 600 performances that engage nearly 200000 members of the community including 40000 students served through our education programs. Today one in four CST visitors is under the age of 18 an important step in nurturing a lifelong appreciation of the arts and ensuring future audiences for our nationâs great cultural institutions.CSTâs tradition of excellence ha
49,Happiness Club,"Founder, Gigi Faraci Harris, created the Happiness club in 1991 with the goal of bringing together people of diverse backgrounds to create a safe environment for them to evaluate issues that were pertinent to their lives.  She recognized that the problems facing these kids were complex: gang violence, racism, drug abuse, and low self-esteem.  By allowing young people to address these issues at an early age, by validating their positive solutions to these problems, and by tapping into her own experience as an arts educator, Gigi believed she could empower these young people to become leaders in their communities.  Focused on this goal, she created a performing arts community made up of young people from vastly differing backgrounds; at-risk inner city kids and affluent suburban kids.  She provided them with a safe, risk-free environment, helped them discover the beauty of their diversity through music and dance, and guided them through the transformative experience of engaging in the creative process together "
50,North River Commission,"For nearly half a century, North River Commission (NRC) has been a nexus of community collaboration. Over the course of our almost 50 year history, NRC has assisted in the creation and rehabilitation of over 2,000 units of affordable housing in more than 50 projects, totaling over $68,000,000 of reinvestment in the North River community. Specific examples of this collaboration include the joint venture of the $10 million, 97 unit senior Mayfair Commons development, and the leveraging of four existing project-based Section 8 developments in the North River community, which created 628 units of subsidized senior housing. Additionally, NRC has been effective in leveraging new partnerships to create and maintain affordable housing within our service area. With financing packaged by NRC, dozens of smaller apartment buildings for low-income residents have been renovated by property owners and landlords. In 2007, the North River Commission began implementation of its revived Affordable Housing Program, with the goal"
51,UC Regents Regents of the University of California at Irvine,
52,Rock for Kids,"Rock For Kids was founded by a group of volunteers in 1989 as ""Christmas is for Kids"". The organizationâs mission at that time was to raise money to purchase holiday toys for homeless children. The organizationâs fundraising capacity grew quickly, and by 2000, as music education was being cut from low-income schools, the board and staff saw the opportunity to make a more lasting impact. The organization went through a strategic planning process, shifted to a programmatic format, changed its name to Rock For Kids, and launched a music education program that delivered free professionally taught music classes in partnership with schools, after school sites, homeless shelters and parks. In 2010 the organization went through another review and strategic planning process to further focus its mission and long-term goals. In January of 2010, Rock For Kids received a pro bono Taproot Foundation Collaborator/Competitor Analysis, which allowed the organization to assess the music education landscape and combine outside "
53,Community Foundation of Will County,
54,News Literacy Project Inc.,
55,The Cara Program,"The Cara Program (TCP) was founded in 1991 by entrepreneur and philanthropist Tom Owens. Inspired by the good work of Mother Teresa and moved by the global challenges affronting the poor, Tom returned home and dedicated himself to serving the Chicago community.  The Cara Program established its 501(c)(3) status and created a board of directors in March, 1999. Originally, The Cara Program focused solely on securing quality, permanent work for women affected by poverty and homelessness. As we quickly learned, women (and men) need much more than a job placement to achieve stability and self-sufficiency. With the goal of ensuring our students stay on the job, The Cara Program introduced intensive life-skills training and retention support services into our program shortly thereafter. Now, more than two decades later, The Cara Program has evolved as not only a best-in-class job training and placement provider, but also a vehicle for true life transformation.  We have placed over 3,500 men and women into quality, p"
56,Su Casa Catholic Worker Community Central American Martyrs Center,"The Central American Martyrs Center/Su Casa Catholic Worker was founded in 1990 by Brother Denis Murphy, FSC. At that time, Su Casa was responding to the influx of Central Americans seeking political asylum in the United States. A community was formed, and a local Franciscan congregation donated their former friary to the effort. The Central American Martyrs Center offered short-term hospitality and referral services to its guests and soon became known as Su Casa, or your house. During its first years, Su Casa built partnerships with community organizations that assisted in meeting the needs of its guests, including the Marjorie Kovler Center which provided counseling for residents, many of whom were survivors of torture. During these years Su Casa established a presence in its Back of the Yards/New City neighborhood by starting a community garden on the property next to the house and operating a weekly soup kitchen. In the mid-1990s, the number of Central American refugees entering the United States began to"
57,Company of Folk,
58,Working In The Schools,"WITS HISTORY Founded in 1991 by Chicagoans Joanne Alter and Marion Stone, WITS was incorporated in 1993 in the wake of the Chicago school reform efforts. Recognizing the importance of one-on-one tutoring for at-risk children, our founders spent one morning a week working with children at the Richard E. Byrd Academy in the Cabrini Green housing development, one of the nations most economically disadvantaged housing projects. Soon, teachers and principals from neighboring schools were requesting WITS volunteers as well. With the help of retirees, homemakers, college students and others, WITS expanded into four other Cabrini area schools. Given the success of its programs, WITS has been recognized as a national model for volunteerism. Former President Clinton called WITS a sterling example of a tutor/mentor program and General Colin Powell highlighted the program at the Presidents Summit for Americas Future. Over the last 17 years, WITS strength has been its ability to provide one-on-one and small-group tutoring"
59,Saint Leonard’s Ministries,
60,Boys and Girls Clubs of Chicago,
61,Connections for Abused Women and their Children,"Began in 1977, Connections for Abused Women and their Children(CAWC), formerly Chicago Abused Women Coalition (CAWC), is the oldest domestic violence agency in Chicago. We provide core domestic violence services through 4 program sites: Greenhouse Shelter, Hospital Crisis Intervention Project at Stroger Hospital (HCIP), Humboldt Park Outreach Program (HPOP), and Domestic Violence Services at Haymarket Center."
62,"Angelic Organics Learning Center, Inc",
63,Illinois Humanities Council,"The Illinois Humanities Council is an educational organization dedicated to fostering a culture in which the humanities are a vital part of the lives of individuals and communities. Through its programs and grants, the IHC promotes greater understanding of, appreciation for, and involvement in the humanities by all Illinoisans, regardless of their economic resources, cultural background, or geographic location. Organized as a state affiliate of the National Endowment for the Humanities in 1973, the IHC is now a private nonprofit (501 [c] 3) organization that is funded by contributions from individuals, corporations, and foundations; by the Illinois General Assembly through the Illinois Arts Council, a state agency; and by the NEH."
64,"Seguin Services, Inc.",UCP Seguin took root in 1949 when a group of parents in the western suburbs of Chicago inspired by Dr. Edouard Seguin (the 19th century French physician who believed that persons with IDD should be integrated into everyday life of the community) began providing day school classes for their children in a church basement. It became the first program for community-based special education in Illinois. From this early informal alliance evolved Mentally Retarded Children?s Aid which transferred all programs and services to Seguin Services in the mid-1970s. In the 1980s Seguin Services was among the first agencies in Illinois to redesign its residential programs to emphasize community integration and traditional home-life experiences by establishing its CILA group homes. Today UCP Seguin provides a supportive family-like home environment for 250 adults with IDD living in its CILA homes annually. UCP Seguin provides in-home supportive services to 30 adults who choose to live independently in their own homes or with t
65,Kenwood-Oakland Community Organization,Founded in 1965 by community and religious activists the Kenwood Oakland Community Organization (KOCO) has been an instrument of grassroots democracy in Chicagoâs north Kenwood and Oakland communities for nearly 50 years. Historically KOCO consistently led campaigns that increased the resources available to youth families and area residents. KOCOâs early advocacy efforts led to the creation of 400 units of affordable housing a neighborhood high school and the creation of a community-based health care center; which continues to provide vital health care services to families and residents. KOCOâs advocacy and neighborhood planning strategies led to North Kenwood and Oaklandâs designation as a community conservation area. Currently KOCO is a multi-issue membership based organization comprised of residents that guide and inform its organizational agenda. KOCO continues to fulfill its commitment to grassroots leadership development by engaging residents in identifying its organizational priorities.
66,Open Communities,"Open Communities is a leading voice for housing economic and social justice in north suburban Chicago working to promote inclusive and diverse communities that are welcoming to all.  Open Communities' roots as a housing justice agency are in the Civil Rights Movement when acts of racial and religious discrimination pervaded the suburbs.  A group of women and clergy organized the ""North Shore Summer Project"" in 1961 to act as the vehicle for change. There were no fair housing laws at that time and housing discrimination was common. But although local housing ads often stipulated ""No Negroes Orientals or Jews"" the women joined by local clergy believed that many community members shared their concerns about housing discrimination.  These initial discussions led to the organization of the North Shore Summer Project which was an effort to convince Realtors located in the northern suburbs of Chicago that they should show and sell homes on a non-discriminatory basis.  It found its inspiration in the Mississippi Summ"
67,A Safe Haven Foundation,ASH was founded in 1994 and has been licensed by the State of Illinois to provide substance abuse treatment services since 2001.  Serving an average of 5500 individuals annually ASH has been committed to helping people transform their lives from one of alcoholism addiction and crime to self-sufficiency in sobriety with gainful living-wage employment and affordable housing.  In a safe and supportive treatment environment clients are able to identify and address the root causes of criminal thinking and behavior.  ASH seeks to stabilize individuals unite families strengthen neighborhoods and create vibrant viable communities.ASH realized in order for people to sustain their sobriety they would require stable housing living-wage employment physical and mental healthcare and access to supportive services. In addition to substance abuse treatment ASH began providing interim permanent supportive and affordable housing intensive case management recovery support services adult education and job training and placement.
68,Albany Park Neighborhood Council,APNC was founded in 2000 by a small but committed group of community members who wanted to have a voice in the policies impacting their lives and their communities. In its early years APNC had significant successes engaging large numbers of community members in its organizing efforts and securing important neighborhood improvements such as an end to toxic dumping by local companies park improvements and more. In 2003 APNC organized a series of community dialogues with over 30 area institutions to develop a new institutional membership model and a broader platform for the organization. Over 1000 people were engaged in this process and discussed the pressures on families in Albany Park and the community as a whole. Through this process APNCâs five issue areas were developed and ratified which included a focus on affordable housing access to health care improving the quality of education promoting investment in youth and increasing the rights of immigrants. Since that time APNC has had numerous and significant a
69,"Affinity Community Services, Inc.","Affinity has been doing organizing work on behalf of the LGBTQ community and African American lesbi women in particular for 13 years. Our organizing model has at its core, the empowerment of Black lesbians, program development and implementation driven by constituency, not by popular trends, organizing in parallel communities requiring layered approaches and responses, bottom-up leadership development, and most significantly shifting paradigms of what is considered margins to center within LGBTQ organizing. As such, Affinity has become a stabilizing force within Chicagos LGBTQ community, providing opportunities to thrive in hostile environments while simultaneously working to create the healthy community we need. We have centered our programs within a community-based site located on Chicagos south side, an area of the city woefully lacking in resources for the LGBTQ community, providing a base of operation unlike previous organizing for the black lesbian community within Chicago. This organizing strategy has "
70,Association of Fundraising Professionals Chicago Chapter,
71,The Inner Voice Inc.,"The Inner Voice was founded in 1984 by Rev. Robert L. Johnson. The agency initially began serving the West Side of Chicago as a drop-in center and ""soup kitchen"". The primary goal of the agency was to provide a respite for persons who were without food or shelter. Over the years, the agency has grown to become one of the largest providers of homeless services in the city of Chicago - assisting approximately 10,000 individuals, annually. The agency motto ""A Voice for Self-Reliance"" embodies the spirit of the agency founder, and serves as daily motivation to continue providing service to the community and strive to fulfill the organization's mission."
72,American Theater Company,"Founded in 1985 as a company dedicated to exploring and developing theater affecting the working-class people of Chicago, ATC has emerged as one of Chicago's leading theater organizations, known for producing some of the most innovative theater in the city. From 1986 to 1993, ATC produced such critically-acclaimed productions as The Hairy Ape; Rick Cleveland's Bad Moon; and Monsters I & II, collections of commissioned monologues by Chicago playwrights including David Mamet. In August 1993, the company leased its warehouse home in North Center and expanded the subscription season to include an annual production of It's A Wonderful Life: The Radio Play which is now an annual holiday tradition, broadcast on Chicago Public Radio."
73,Brighton Park Neighborhood Council,Founded in 1997 BPNC unites individuals and neighborhood institutions to organize campaigns to win essential resources for one of Chicago's most underserved communities improve public policy and address the root causes of poverty and inequality. In addition to foreclosure prevention housing counseling BPNC offers a comprehensive array of community programs and services including: financial literacy training and education; school-based mental health counseling case management and crisis intervention services; before- and after-school academic enrichment programming; youth and adult leadership training and organizing; public policy advocacy (violence prevention education justice immigrant rights); school-based Parent Safety Patrol and other violence prevention services; utility assistance through CEDA and LIHEAP programs; and Weatherization services.  New data from the 2010 Census demonstrates that Brighton Park has continued to grow in numbers over the past ten years. Currently Brighton Park has 49318 resident
74,Erikson Institute,
75,Mujeres Latinas En Accion,
76,The Lake County Community Foundation,
77,Audience Architects,"Audience Architects grew out of The Chicago Community Trust?s Five-Year Dance Initiative, which, among other outcomes, funded a multi-year market research study on how to build dance audiences. One of the resultant projects was SeeChicagoDance.com, an audience development website, which launched in 2005 and drives ticket sales for dance in Chicago. The site quickly proved to be a success and it was clear that the service needed to continue beyond the CCT initiative. Audience Architects was founded in 2006 as a service organization for dance and received 501(c)(3) status in 2008."
78,"Erie Family Health Center, Inc.",
79,Garden Quarter Neighborhood Resource Center,
80,University of Illinois at Chicago,The University of Illinois at Chicago (UIC) originated in 1982 with the consolidation of the two urban campuses of the state's flagship university: the University of Illinois at the Medical Center and the University of Illinois at Chicago Circle. The former which became the West Campus of UIC combined a handful of separate institutions over the years giving it roots reaching back to 1858. The Circle or East Campus opened in 1965 drawing on more recent beginnings (1946) when a two-year undergraduate division opened on Navy Pier to serve returning war veterans. By 1998 UIC enrolled 25000 students in 15 colleges making it the largest university in the Chicago area. A major economic engine it employed about 12000 people with a budget of approximately a billion dollars. By the turn of the century one of every 73 Chicagoans over age 21 was a UIC graduate.
81,The Dance COLEctive,
82,Erie Elementary Charter School,
83,The People’s Music School,"The Schools founder, Dr. Rita Simo, first taught classical music to a handful of students in 1976.  She began in a converted hair salon with $625 and a donated piano.  A Julliard-trained pianist, Dr. Simo wanted to make music education available to anyone, especially those with little access to formal training, as is the case in her native country, the Dominican Republic."
84,Gilda’s Club Chicago,
85,Little Black Pearl Workshop,"Little Black Pearl was founded in the N. Kenwood and Hyde Park community over 18years ago. Throughout the years, LBP has been identified as an anchor organization in the community. We have provided a range of programs and services to almost every public and private school in Hyde Park and the surrounding communities. LBP has partnerships with over 50 schools, faith-based institutions, organizations, local businesses and universities throughout the community. LBP has creatively and successfully served high-risk youth within the N. Kenwood, Hyde Park communities and the adjacent neighborhoods of Washington Park, Woodlawn, Grand Boulevard and South Shore through its in-school, after-school, summer and workforce development programs. LBPâs work with high-risk adolescents has transformed how the organization approaches its work and frames its philosophy of serving at risk populations.
In January 2005 Little Black Pearl moved into its new home, a newly constructed state of the art, 40,000 square foot facility loca"
86,Holocaust Memorial Foundation of Illinois  Illinois Holocaust Museum & Education Center,"The new Museum is an outgrowth of the Holocaust Memorial Foundation of Illinois (HFMI), which was founded by a small group of survivors in 1981 following a proposed march by neo-Nazis in Skokie, Illinois.  The potential march was a powerful motivator for the survivors, who had seen similar demonstrations leading up to the very atrocities they experienced years before.   Many spoke out about their experiences for the first time as they began to recognize the importance of teaching others about the lessons of the Holocaust and the dangers of unchallenged hate.  For nearly three decades since, the survivors and their organization provided educational programming to school and community groups from a small storefront Museum located in Skokie."
87,Allowance for Good,
88,Junior Achievement of Chicago,
89,Barbara Bates Foundation,
90,Southwest Organizing Project,
91,Ronald McDonald House Charities of Chicagoland & Northwest Indiana,
92,La Casa Norte,
93,Chinese American Service League,Almost 35 years ago a group of 10 friends from  social work and education backgrounds came together to discuss the needs of Chicago?s Chinese community?and formed the Chinese American Service League. CASL began in 1978 as a one-woman operation in the back office of a Chinatown dental practice.  Soon the community began to accept CASL's services and a 700-square-foot building was rented. In 1983 the agency moved into a 10000-square-foot remodeled warehouse. As community programs were added CASL spread to five different sites. In 2004 CASL built its own facility and moved into its current site. The 37000-square-foot Kam L. Liu building consolidated all of the sites into one convenient modern facility. CASL has grown to become the largest and most comprehensive community-based social service agency in the Midwest dedicated to the needs of Chinese Americans serving over 17000 clients each year. In its 34-year history CASL has experienced a growth in budget from $32000 in 1978 to over $12 million in 2013. From hum
94,"Youth Service Project, Inc.","In 1975, YSP programming responded to community volunteers? concerns about the impact of drugs on the youth and the community. Since then, YSP has expanded to meet the changing needs of the community through a continuum of programs that focuses on youth development, recreational opportunities, and respecting the voices of our young people. YSP has been able to help transform the lives of almost 3,000 young people annually. Our core service areas are recreation, prevention, diversion, intervention, arts and culture, education, and community building."
