,iyear,imonth,iday,city,latitude,longitude,attacktype1_txt,targtype1_txt,nkill,summary
10,1970,1,13,Seattle,47.603559999999995,-122.329439,Facility/Infrastructure Attack,Business,0.0,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store."
11,1970,1,14,Champaign,40.116748,-88.23926999999999,Facility/Infrastructure Attack,Police,0.0,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned."
12,1970,1,19,Seattle,47.610594,-122.317228,Bombing/Explosion,Educational Institution,0.0,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages."
13,1970,1,19,Seattle,47.655335,-122.30351999999999,Bombing/Explosion,Military,0.0,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed."
14,1970,1,19,Jersey City,40.728075,-74.077825,Facility/Infrastructure Attack,Violent Political Party,0.0,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages."
15,1970,1,22,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Private Citizens & Property,0.0,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
16,1970,1,25,West Point,33.60651,-88.650419,Facility/Infrastructure Attack,Private Citizens & Property,0.0,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point."
17,1970,1,25,New York City,40.78306,-73.971249,Armed Assault,Police,0.0,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived."
18,1970,1,26,West Point,33.60651,-88.650419,Bombing/Explosion,Government (General),0.0,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered."
19,1970,1,26,New York City,40.728224,-73.794852,Armed Assault,Police,0.0,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit."
20,1970,1,27,Norwalk,41.241996,-82.615241,Facility/Infrastructure Attack,Government (General),0.0,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages."
21,1970,1,28,Seattle,47.603559999999995,-122.329439,Bombing/Explosion,Religious Figures/Institutions,0.0,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area."
22,1970,1,30,South Sioux City,42.479999,-96.413046,Bombing/Explosion,Unknown,0.0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
23,1970,1,30,South Sioux City,42.46634,-96.41405,Bombing/Explosion,Business,0.0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
24,1970,1,30,Coral Gables,25.720851,-80.277857,Facility/Infrastructure Attack,Military,0.0,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode."
25,1970,1,31,Denver,39.748783,-105.022136,Bombing/Explosion,Police,0.0,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged."
26,1970,2,1,Portland,45.511795,-122.675629,Facility/Infrastructure Attack,Government (General),0.0,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage."
27,1970,2,1,Cairo,37.005105,-89.17626899999999,Armed Assault,Police,0.0,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered."
28,1970,2,2,New York City,40.78306,-73.971249,Facility/Infrastructure Attack,Business,0.0,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City."
29,1970,2,3,New York City,40.844782,-73.864827,Facility/Infrastructure Attack,Business,0.0,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States."
30,1970,2,3,New York City,40.78306,-73.971249,Facility/Infrastructure Attack,Business,0.0,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage."
31,1970,2,4,Akron,41.084195,-81.514059,Bombing/Explosion,Private Citizens & Property,0.0,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages."
32,1970,2,6,Denver,39.74001,-104.992259,Bombing/Explosion,Transportation,0.0,"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties."
33,1970,2,6,Seattle,47.608758,-122.329439,Bombing/Explosion,Government (General),0.0,"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes."
34,1970,2,6,Seattle,47.603559999999995,-122.329439,Bombing/Explosion,Religious Figures/Institutions,0.0,"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area."
35,1970,2,6,Dorado,18.460791,-66.264884,Facility/Infrastructure Attack,Government (General),0.0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
36,1970,2,6,Rio Piedras,18.399712,-66.049987,Facility/Infrastructure Attack,Utilities,0.0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a General Electric facility in Rio Piedras, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
37,1970,2,6,Carolina,18.441963,-66.02631600000001,Facility/Infrastructure Attack,Business,0.0,"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at Hotel San Juan in Carolina, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage."
38,1970,2,6,Boston,42.3505,-71.105399,Facility/Infrastructure Attack,Military,0.0,"2/6/1970: Unknown perpetrators firebombed an R.O.T.C. office at Boston University in Boston, Massachusetts, United States.  There were no casualties but the resulting fire damaged the office."
39,1970,2,7,Whitewater,42.838355,-88.743224,Facility/Infrastructure Attack,Educational Institution,0.0,"2/7/1970: Unknown perpetrators set a fire in Old Mail Hall at Wisconsin State College in Whitewater, Wisconsin, United States.  There were no casualties but the building sustained an estimated $1,000,000 in damages."
40,1970,2,8,New York City,40.751212,-73.903649,Bombing/Explosion,Business,0.0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Queens, New York, United States.  There were no casualties but the building sustains minor damages."
41,1970,2,8,New York City,40.678178,-73.944158,Bombing/Explosion,Business,0.0,"2/8/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for bombing the General Electric Service Center in Brooklyn, New York, United States.  There are no casualties but the building sustains minor damages."
42,1970,2,9,New York City,40.78306,-73.971249,Bombing/Explosion,Business,0.0,"2/9/1970: In a series of related events, a member of the Armed Revolutionary Independence Movement (MIRA) was suspected of placing a bomb at the General Electric Headquarters in Manhattan, New York, United States.   The bomb was discovered and subsequently removed."
43,1970,2,9,Batavia,39.078590000000005,-84.17941400000001,Bombing/Explosion,Private Citizens & Property,0.0,"2/9/1970: Unknown perpetrators in Batavia, Ohio, United States, bombed two cars belonging to Leslie Jewel, an employee of General Electric that was not part of the union.  The automobiles were damaged, but there were no casualties.  There had been a recent labor strike at the nearby General Electric Evendale plant."
44,1970,2,11,Ypsilanti,42.263414000000004,-83.66528100000001,Facility/Infrastructure Attack,Educational Institution,0.0,"2/11/1970: Unknown perpetrators threw a firebomb into a building at Washtenaw Community College in Ypsilanti, Michigan, United States.  There were no casualties, but the buildings sustained an estimated $2,500 in damages."
45,1970,2,13,Berkeley,37.869885,-122.27053899999999,Bombing/Explosion,Police,0.0,
46,1970,2,13,Berkeley,37.869885,-122.27053899999999,Bombing/Explosion,Police,0.0,"2/13/1970: Unknown perpetrators detonated two dynamite bombs in the parking lot of the Berkeley Police Station in California, United States, during a shift change.  Seven police officers were injured, three cars were destroyed, and windows were shattered at nearby buildings."
47,1970,2,15,New York City,40.78306,-73.971249,Bombing/Explosion,Business,0.0,"7/15/1970: Unknown perpetrators bombed the Chase Manhattan Bank in Manhattan, New York, United States.  There were no casualties, however, the glass doors of the building and windows were shattered."
48,1970,2,15,Eugene,44.04483,-123.07260600000001,Facility/Infrastructure Attack,Military,0.0,"2/15/1970: Unknown perpetrators set fire to a building housing an R.O.T.C. storage area at the University of Oregon in Eugene, Oregon, United States.  One fireman was injured fighting the blaze and the men's physical education building sustained an estimated $350,000 in damages.  The incident took place a week after the university voted to retain the R.O.T.C. program."
49,1970,2,16,San Francisco,37.777125,-122.41964399999999,Bombing/Explosion,Police,1.0,
50,1970,2,16,Berkeley,37.869885,-122.27053899999999,Bombing/Explosion,Business,0.0,
51,1970,2,16,Berkeley,37.869885,-122.27053899999999,Bombing/Explosion,Business,0.0,
52,1970,2,16,San Francisco,37.775471,-122.40371699999999,Armed Assault,Police,0.0,"2/16/1970: Four hours after a San Francisco Police Station was bombed in California, United States, a sniper took aim at three police officers.  However, police fired at the sniper before he could get a shot off.  The sniper and a companion fled the scene before being apprehended."
53,1970,2,17,Oakland,37.805065,-122.27302399999999,Bombing/Explosion,Business,0.0,"2/17/1970: A day after bombings in San Francisco and Berkeley, twenty-four sticks of dynamite were discovered at Walter Boysen Paint Company in Oakland, California, United States.  The bombs never detonated."
54,1970,2,17,Buckeystown,39.334825,-77.431653,Bombing/Explosion,Utilities,0.0,"2/17/1970: Unknown perpetrators bombed a power pole in Buckeystown, Maryland, United States.  There were no casualties, however, as a result of the bombing, five-hundred homes and two industrial facilities lost power.  Windows were also shattered in buildings a quarter of a mile a way."
55,1970,2,17,Covington,30.493919,-90.132512,Bombing/Explosion,Educational Institution,0.0,"2/17/1970: Unknown perpetrators detonated a bomb at Covington High School in Louisiana, United States.  There were no casualties but the building sustained minor damages.  The bombing took place six months before the school was integrated."
56,1970,2,17,Seattle,47.655335,-122.30351999999999,Bombing/Explosion,Military,0.0,"2/17/1970: Unknown perpetrators placed a gasoline bomb underneath the Armory at the University of Washington in Seattle, United States.  The bomb did not explode and was later discovered and removed."
57,1970,2,18,Cleveland,41.504365,-81.69045899999999,Bombing/Explosion,Police,0.0,"2/18/1970: Amidst a period racial strife at Cuyahoga Community College in Cleveland, Ohio, United States, unknown perpetrators detonated a bomb that damaged a car of a police officer working as a security guard."
58,1970,2,18,Vallejo,38.10083,-122.254954,Bombing/Explosion,Police,0.0,"2/18/1970: Booby trapped handgrenades were discovered wired to a car in the parking lot of the Vallejo Police Department in California, United States.  The device was deactivated."
59,1970,2,20,Hartford,41.763325,-72.67406899999999,Facility/Infrastructure Attack,Government (General),0.0,"2/20/1970: Unknown perpetrators threw a Molotov cocktail at a Federal Building that housed a United States Courthouse in Hartford, Connecticut, United States.  There were no casualties but the building sustained an estimated $450 in damages."
60,1970,2,20,New York City,40.807026,-73.960349,Facility/Infrastructure Attack,Educational Institution,0.0,"2/20/1970: Unknown perpetrators ignited a firebomb at the Columbia University International Law Library in Manhattan, New York, United States.  There were no casualties but the building sustained slight damages."
61,1970,2,20,Seattle,47.655335,-122.30351999999999,Bombing/Explosion,Educational Institution,0.0,"2/20/1970: Unknown perpetrators placed two dynamite bombs at the construction site of the School of Architecture at the University of Washington in Seattle, Washington, United States.  Only one of the two bombs exploded causing little damage.  There were no casualties."
62,1970,2,21,New York City,40.733571999999995,-74.002742,Facility/Infrastructure Attack,Police,0.0,"2/21/1970: Unknown perpetrators threw a firebomb at a police car in front of the Charles Street Police Station in Greenwich, New York, United States.  Another bomb was thrown to the pavement  seventy-five feet away.  The attacks caused no damages or casualties."
63,1970,2,21,New York City,40.678178,-73.944158,Facility/Infrastructure Attack,Military,0.0,"2/21/1970: Two Military Recruiting Stations in the vicinity of Brooklyn College were firebombed by unknown perpetrators in New York, United States.  There were no casualties but the recruiting stations sustained minor damages before the fire was extinguished."
64,1970,2,21,New York City,40.78306,-73.971249,Bombing/Explosion,Private Citizens & Property,0.0,"2/21/1970: The Weathermen claimed credit for bombing the residence of State Supreme Court Justice John Murtagh New York, United States.  The attack caused no casualties but the house sustained minor damages.  Judge Murtagh was presiding over a trial of thirteen Black Panther members at the time.    Anti-Vietnam war and pro-Black Panther graffiti was left at the scene of the attack."
65,1970,2,21,Denver,39.74001,-104.992259,Facility/Infrastructure Attack,Private Citizens & Property,0.0,"2/21/1970: Unknown perpetrators threw a firebomb into the residence of James C. Perrill in Denver, Colorado, United States.  There were no casualties and it is unknown if the house was damaged.  The attack occurred during heightened racial tensions due to the integration of Denver City Schools and Perrill was  a conservative school board member."
66,1970,2,22,Ithaca,42.455233,-76.475847,Facility/Infrastructure Attack,Educational Institution,0.0,"2/22/1970: Unknown perpetrators threw kerosene flare pots at the Wari House Dormitory which housed the Black Women's Cooperative at Cornell University in Ithaca, New York, United States.  The incendiary tossed at the dormitory failed to ignite, but an incendiary thrown through the window of a car parked in front of the dormitory burst into flames and caused minor damages to the vehicle.  There were no casualties."
67,1970,2,22,Prairie du Sac,43.287052,-89.724361,Bombing/Explosion,Utilities,0.0,"2/22/1970: Karl Armstrong, a member of the New Years Gang, attempted to bomb the Wisconsin Power and Light substation in Prairie du Sac, Wisconsin, United States.  Carrying thirteen sticks of dynamite he broke into the substation, but fled the scene when a night security guard arrived unexpectedly.  The substation supplied power to the Badger Ammunition Plant."
68,1970,2,23,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,0.0,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
69,1970,2,23,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,0.0,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
70,1970,2,23,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,0.0,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
71,1970,2,23,South Sioux City,42.47031,-96.413949,Bombing/Explosion,Utilities,0.0,"2/23/1970: In a series of related attacks, unknown perpetrators bombed four separate power transmission poles in the Dakota City and Sioux City areas in Nebraska, United States.  There were no casualties and none of the dynamite blasts broke off any of the poles.   These attacks were one of many instances of violence in South Sioux City during the Iowa Beef Packers strike."
72,1970,2,23,Tucson,32.222232,-110.925752,Bombing/Explosion,Military,0.0,"2/23/1970: Unknown perpetrators detonated a dynamite bomb in front of the Selective Service Headquarters in Tucson, Arizona, United States. There were no casualties, however, all of the windows of the building shattered."
73,1970,2,24,Denver,39.74001,-104.992259,Bombing/Explosion,Private Citizens & Property,0.0,"2/24/1970: Unknown perpetrators detonated a pipe bomb in front of the house of Wilfred Keyes in Denver, Colorado, United States.  There were no casualties, however, the front porch was destroyed and many windows were shattered.  Keyes was the lead plaintiff in a court case calling for the desegregation of Denver City Schools."
74,1970,2,24,Champaign,40.101952000000004,-88.227161,Facility/Infrastructure Attack,Military,0.0,"2/24/1970: Unknown perpetrators threw a Molotov cocktail into the Armory at the University of Illinois, Champaign-Urbana, United States.  There were no casualties but the firebomb caused $2,000 in damages.  The offices of the R.O.T.C. were located in the Armory"
75,1970,2,27,Boulder,40.007581,-105.265942,Bombing/Explosion,Educational Institution,0.0,"2/27/1970: Unknown perpetrators detonated a bomb in the Behavioral Sciences Building at the University of Colorado at Boulder in Colorado, United States.  There were no casualties but the building was damaged."
76,1970,3,1,Boulder,40.007581,-105.265942,Bombing/Explosion,Military,0.0,"3/1/1970: Unknown perpetrators bombed the office of the Air Force R.O.T.C. at the University of Colorado in Boulder, Colorado, United States.  There were no casualties but the R.O.T.C. training facility sustained an estimated $2,000 in damages."
77,1970,3,1,Colorado Springs,38.83345,-104.821814,Facility/Infrastructure Attack,Military,0.0,"3/1/1970: Unknown perpetrators firebombed the headquarters of the Selective Service in Colorado Springs, Colorado, United States.  There were no casualties but the building sustained moderate damages."
78,1970,3,1,Boulder,40.007581,-105.265942,Facility/Infrastructure Attack,Police,0.0,"3/1/1970: In a series of two incidents that were possibly related, unknown perpetrators firebombed a University of Colorado campus police vehicle in Boulder, Colorado, United States.  There were no casualties but the car was damaged."
79,1970,3,1,Boulder,40.014986,-105.270546,Bombing/Explosion,Police,0.0,"3/2/1970: In a series of two incidents that were possibly related, unknown perpetrators bombed a city police car in Boulder, Colorado, United States.  There were no casualties but the car was damaged."
80,1970,3,2,Cleveland,41.504365,-81.69045899999999,Facility/Infrastructure Attack,Private Citizens & Property,0.0,"3/2/1970: Unknown perpetrators threw a Molotov cocktail into the house of Frank Schaeffer, the president of the Cleveland Fraternal Order of Police, in Cleveland, Ohio, United States.  There were no casualties but the fire caused an estimated $200 in damages.  Schaeffer had recently defended the actions of Cleveland Police Officers during the 1968 racial disorders."
81,1970,3,3,Denver,39.751039,-104.93049599999999,Bombing/Explosion,Private Citizens & Property,0.0,"3/3/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was damaged."
82,1970,3,3,Seattle,47.655335,-122.30351999999999,Bombing/Explosion,Government (General),0.0,"3/3/1970: Four left wing radicals set off a dynamite bomb at a post office in Seattle, Washington, United States.  There were no casualties but the building and a vehicle were damaged."
83,1970,3,4,Oakland,37.805065,-122.27302399999999,Bombing/Explosion,Military,0.0,"3/4/1970: Unknown perpetrators placed a time bomb in a Barracks at the Oakland Army Base in California, United States.  The bomb was subsequently discovered and disarmed. The base was used as a departing point for United States troops heading to Vietnam."
84,1970,3,4,Martinez,38.019304,-122.13406200000001,Bombing/Explosion,Transportation,0.0,"3/4/1970: Unknown perpetrators placed a bomb on a railroad car in Martinez, California, United States.  The bomb was subsequently discovered and disarmed.  The railroad car was used to transport acid."
85,1970,3,4,Denver,39.735233,-104.98608200000001,Bombing/Explosion,Private Citizens & Property,0.0,"3/4/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was damaged."
86,1970,3,5,Seattle,47.603559999999995,-122.329439,Bombing/Explosion,Government (General),0.0,"3/5/1970: Unknown perpetrators detonated a bomb at the University District Post Office in Seattle, Washington, United States.  There were no casualties, however, the side of the building was damaged."
87,1970,3,5,Denver,39.73686,-104.981109,Bombing/Explosion,Private Citizens & Property,0.0,"3/5/1970: Unknown perpetrators bombed a foreign-made car painted red in Denver, Colorado, United States.  There were no casualties but the car was heavily damaged."
88,1970,3,5,San Juan,18.46617,-66.106654,Assassination,Military,2.0,"3/5/1970: Unknown Puerto Rican Nationalists assassinated two United States Navy personal stationed in San Juan, Puerto Rico.  The incident was in response to the death of Antonia Martinez Lagaras, who was shot and killed during a confrontation between students and police in front of the R.O.T.C. building at the University of Puerto Rico, Rio Piedras a day earlier."
89,1970,3,6,Detroit,42.331685,-83.047924,Bombing/Explosion,Police,0.0,"3/6/1970: In a series of related unsuccessful attacks, suspected members of the Weathermen placed thirty-four sticks of dynamite at the Detroit Police Department building in Michigan, United States.  The bombs were subsequently discovered and  disarmed."
90,1970,3,6,Detroit,42.331685,-83.047924,Bombing/Explosion,Police,0.0,"3/6/1970: In a series of related unsuccessful attacks, suspected members of the Weathermen tossed a package containing dynamite through a window of the Detroit Police Officers Association in Michigan, United States.  The dynamite was  discovered and subsequently disarmed."
91,1970,3,9,Berkeley,37.869885,-122.27053899999999,Facility/Infrastructure Attack,Educational Institution,0.0,
92,1970,3,9,Ashville,33.83651,-86.254749,Facility/Infrastructure Attack,Private Citizens & Property,0.0,
93,1970,3,9,Bridgeport,41.18188,-73.19126899999999,Facility/Infrastructure Attack,Religious Figures/Institutions,0.0,"3/9/1970: Unknown perpetrators firebombed Shiloh Baptist Church, a predominantly African American Church, in Bridgeport, Connecticut, United States.  There were no casualties but the building sustained minor damages."
94,1970,3,9,Albuquerque,35.084319,-106.619781,Bombing/Explosion,Military,0.0,"3/9/1970: Unknown perpetrators placed an incendiary bomb underneath the Air Force R.O.T.C. building at the University of New Mexico in Albuquerque, New Mexico, United States.  The bomb was discovered and disarmed fifteen minutes before it was set to explode."
95,1970,3,9,Bel Air,39.538940000000004,-76.348479,Bombing/Explosion,Unknown,2.0,"3/9/1970: A bomb exploded in the car of Ralph Featherstone and William Payne, members of the Student non-violent Coordinating Committee and supporters of H. Rap Brown, while they were driving in Bel Air, Maryland, United States.  Both men died as a result of the blast.  Police suspected that the bomb exploded prematurely and was intended for H. Rap Brown's trial scheduled to be held  at the Harford County Courthouse   Many members of the radical Black community believed that the bomb was set off by White Racists or the police.  The next day, a bomb was detonated at Dorchester County Courthouse, the original location of Brown's trial, by an unknown perpetrator."
96,1970,3,10,Cambridge,38.563122,-76.078063,Bombing/Explosion,Government (General),0.0,"3/10/1970: An unidentified White middle-aged female was suspected of bombing the Dorchester County Courthouse in Cambridge, Maryland, United States where the trial for radical Black leader H. Rap Brown was originally scheduled to be held.  There were no casualties but the building sustained extensive damages."
97,1970,3,10,San Francisco,37.721897,-122.478209,Facility/Infrastructure Attack,Business,0.0,"3/10/1970: Unknown perpetrators threw a Molotov cocktail into the office of Dr. Samuel Ichiye Hayakawa, the president of San Francisco State College, in San Francisco, California, United States.  The bomb failed to ignite.  The next day their were violent protests on campus against military recruiters on the SFSC campus.  Previously, S. I. Hayakawa took a hard line against student demonstrators."
98,1970,3,11,Champaign,40.102408000000004,-88.227159,Facility/Infrastructure Attack,Military,0.0,"3/11/1970: Unknown perpetrators firebombed the Army and Air Force Recruiting Station at the University of Illinois, Champaign-Urbana, United States.  There were no casualties but the Recruiting Station was destroyed."
99,1970,3,12,New York City,40.712784,-74.007124,Bombing/Explosion,Business,0.0,
100,1970,3,12,New York City,40.712784,-74.005941,Bombing/Explosion,Business,0.0,
101,1970,3,12,Chicago,41.88415,-87.632409,Bombing/Explosion,Police,0.0,"3/12/1970:  In a series of two incidents that were possibly related, a bomb exploded underneath an empty police car parked in front of detective headquarters in Chicago, Illinois, United States.  There were no casualties but the car sustained minor damages."
102,1970,3,12,Chicago,41.88415,-87.632409,Bombing/Explosion,Police,0.0,"3/12/1970:  In a series of two incidents that were possibly related, a cherry bomb was thrown at an empty police car in Chicago, Illinois, United States, after two officers left the vehicle responding to a call for help.  There were no casualties but the car was damaged."
